hypervolume,epsilon_progress,nfe
0.0,0,0
0.939943038321136,10,100
0.0,45,1195
0.0,63,2290
0.0,77,3388
0.0,85,4453
0.0,90,5497
0.0,90,6573
0.0,90,7628
0.0,90,8699
0.0,90,9757
0.0,90,10800
0.0,90,11817
0.0,90,12896
0.0,90,13904
0.0,90,14907
0.0,90,15946
0.0,90,16996
0.0,90,18049
0.0,90,19068
0.0,90,20137
0.0,90,21187
0.0,90,22188
0.0,90,23192
0.0,90,24230
0.0,90,25280
0.0,90,26309
0.0,90,27311
0.0,90,28380
0.0,90,29383
