Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
28579082.659902427,159568568.8697536,182600000.0,2172.0809015918867,0.002113557750997062
1763058620.557634,159568568.8697536,182600000.0,59036.07405137742,0.17274403988072767
60409368.665675305,159568568.8697536,182600000.0,1591.6296714487326,0.0059162655534683705
1335850208.2701106,159568568.8697536,182600000.0,12911.097603254952,0.09708407438609981
70440413.79782584,159568568.8697536,182600000.0,3669.7207029439214,0.006598492427861473
2442847616.4913244,159568568.8697536,182600000.0,32251.75609935185,0.22817916315619904
277226267.9691323,159568568.8697536,182600000.0,4138.483052472097,0.02977438515676204
10286937.776565228,159568568.8697536,182600000.0,224.0955833761708,0.0010677528562571047
78853712.24818538,159568568.8697536,182600000.0,1588.5509149192324,0.005892773352465867
88410698.20103768,159568568.8697536,182600000.0,6642.126678814661,0.01258975745043303
3309678191.5292654,159568568.8697536,182600000.0,32436.47979691608,0.2301076222302108
14882438.12894519,159568568.8697536,182600000.0,1013.9829306180723,0.0023039370442958103
2478363101.129204,159568568.8697536,182600000.0,34738.28148183072,0.17892091783871805
97877687.32004401,159568568.8697536,182600000.0,3049.520627373527,0.011806993145420682
46346476.64596548,159568568.8697536,182600000.0,864.2387336363813,0.004397760232835678
13379906.513139348,159568568.8697536,182600000.0,767.199506993439,0.0016533042393462591
100735843.74613404,159568568.8697536,182600000.0,6277.215086774086,0.012287840260539447
3267069838.6300764,159568568.8697536,182600000.0,32492.801577845778,0.23076722826711915
404261419.25433856,159568568.8697536,182600000.0,15728.01811591281,0.060039818831443256
1009516507.0858661,159568568.8697536,182600000.0,34841.58655236811,0.09629418650424709
387905164.0940033,159568568.8697536,182600000.0,15341.540181276701,0.034513200469315615
470706044.9073998,159568568.8697536,182600000.0,14606.962185711376,0.043059643912732565
415238068.2356514,159568568.8697536,182600000.0,23774.832160988473,0.03901561033166982
48143251.8167224,159568568.8697536,182600000.0,3932.387790811554,0.00452360553803005
19379628.961952876,159568568.8697536,182600000.0,1672.6949122081596,0.0014981723168581535
2467133346.6152053,159568568.8697536,182600000.0,32516.059343294906,0.23103591901827267
0.0,159568568.8697536,182600000.0,0.0,0.0
2936942317.165224,159568568.8697536,182600000.0,32173.901969753257,0.22770621576075575
2409198655.0704584,159568568.8697536,182600000.0,29293.195869122992,0.2077951446299237
3308730661.1699004,159568568.8697536,182600000.0,32409.10422274954,0.2300233401940483
498869816.3970941,159568568.8697536,182600000.0,8775.329631877408,0.05665009104398206
76765100.98299047,159568568.8697536,182600000.0,3940.1142698420454,0.008029935013099121
11451705.36866839,159568568.8697536,182600000.0,383.0861930229621,0.001045778369556899
32339864.868328433,159568568.8697536,182600000.0,1627.1800579545088,0.0032729403300078446
3320363950.868197,159568568.8697536,182600000.0,33241.64634891069,0.2304223800239793
221156908.67405286,159568568.8697536,182600000.0,7563.306189954763,0.026203191879829564
713084205.2892959,159568568.8697536,182600000.0,7447.429528608189,0.055256679500244515
29286481.746152796,159568568.8697536,182600000.0,1245.496535000359,0.0039282843881753215
578708437.0914365,159568568.8697536,182600000.0,36248.37170929776,0.05842584961932254
3623339856.1037807,159568568.8697536,182600000.0,32543.85752020229,0.2313517712531657
42750026.36460873,159568568.8697536,182600000.0,1847.8356686907982,0.004862230398733526
3606635464.396417,159568568.8697536,182600000.0,32408.085202677205,0.23001149630978837
327535981.22515285,159568568.8697536,182600000.0,4485.635075144921,0.03052469876126192
77010389.91299792,159568568.8697536,182600000.0,1336.993227508928,0.0064951453192081095
2238163157.491071,159568568.8697536,182600000.0,32192.974441305836,0.2279295552544749
547529825.4910657,159568568.8697536,182600000.0,26837.30146401295,0.05069572158064068
2563792178.5971174,159568568.8697536,182600000.0,31899.892247716907,0.22462371228217862
252414136.1920795,159568568.8697536,182600000.0,8733.030860072777,0.026205166558841003
2297768581.651387,159568568.8697536,182600000.0,32192.974441305836,0.2279295552544749
1785611631.375983,159568568.8697536,182600000.0,25294.702928353254,0.1836223198787243
2828280.89935624,159568568.8697536,182600000.0,107.7813315070502,0.00017289466168760056
23753844.275532767,159568568.8697536,182600000.0,785.905465421749,0.0037664839585273713
626310179.6208528,159568568.8697536,182600000.0,30931.097499967094,0.05461578391236587
52289452.62429222,159568568.8697536,182600000.0,1142.9399547805647,0.004900511291403986
18826185.406306062,159568568.8697536,182600000.0,1067.6502719227542,0.0030819381246867915
0.0,159568568.8697536,182600000.0,0.0,0.0
457481165.0792352,159568568.8697536,182600000.0,27570.527144464697,0.04838230122276857
871935658.4585816,159568568.8697536,182600000.0,48905.78374491921,0.1606745795158168
317072879.8800063,159568568.8697536,182600000.0,15251.390341139282,0.04128475739441889
14673692.322329579,159568568.8697536,182600000.0,797.1390766611809,0.001661244156438707
2435212106.699015,159568568.8697536,182600000.0,32137.398814387096,0.2272786701533227
193791787.3029704,159568568.8697536,182600000.0,3049.5325253310575,0.015083138277143877
126664124.8256682,159568568.8697536,182600000.0,5330.154845508434,0.01848230124468391
545276257.7120563,159568568.8697536,182600000.0,7266.775442416325,0.054571159646905475
44346430.83928306,159568568.8697536,182600000.0,3324.800396831282,0.0044732937177254985
1391827769.46352,159568568.8697536,182600000.0,20961.57390825999,0.15284671620843168
20540335.14392792,159568568.8697536,182600000.0,928.4507093455913,0.0017607350917349458
179274177.5587359,159568568.8697536,182600000.0,5798.095767889355,0.020124738042958765
2613304322.0849237,159568568.8697536,182600000.0,32532.115401451672,0.2312187146472624
61236631.362502575,159568568.8697536,182600000.0,5024.678687733424,0.005247701788964964
