All Costs,Expected Number of Deaths
2863758198.750762,1.986629122532555
2580309183.6537066,3.703710648440358
542505797.948215,0.4486567440042592
791101492.7039087,0.4808033957248098
516429464.6928659,0.6160328071576873
1733433593.969584,1.7951317227801125
1075454729.5210884,2.0498413443405576
1514226007.7205243,1.1297213842294902
754561932.555452,1.1703629425338864
3963165600.687953,2.4394433354841807
454997381.4670168,0.6741442426277116
423728953.1686635,0.5592422152860582
2177126410.044745,3.9325493761905457
3591530399.944355,2.140377541882116
3423068505.0502834,2.9752241161565776
1586616488.718824,2.1159466571158605
2318681553.848397,2.4727377518009384
1734913830.4378178,2.983007831035625
507294051.9881928,0.4909367547901035
236369454.81308225,0.274048314819765
558538827.696827,0.3997487420491961
3227123448.358377,1.9879855798685369
2528483974.681901,2.0603417992381563
381156352.80576944,0.3249222577548634
505732153.3353006,0.5188944210069245
3248015337.094008,2.0042251272625267
1416325474.5891771,1.14570173133991
479490010.7078141,0.6419743101985718
221532665.86940172,0.3919082026572854
1604530232.3546326,1.4496593191558969
1711702024.1073976,2.665094825182042
1481889289.0928028,2.2303800721089946
2701464722.369778,1.8260592898044012
1081705579.9129827,0.9448055024207572
2722367213.112843,1.9954288598971088
3056679610.058237,1.9711221491425728
258597356.1214617,0.3058891129255563
947799144.4166776,0.99487958799492
2887719072.9056954,2.0077825625461125
309780456.0332001,0.2826035997165935
3180984195.888997,1.9521772576252996
2147908460.7173166,3.715249167905872
1493134412.6139183,1.4611548766207518
2510411116.961762,3.6370842615280488
527218380.1761262,0.5411305299683028
3176665693.3085494,2.071990927915719
3228159822.445925,1.9888201374957497
2647583179.38387,4.047134981834862
3399861995.459587,1.9969512067178692
3957498402.597851,2.871374384967968
88668091.40094744,0.1132705484084002
2189976159.2458425,3.7063050635150696
2908581742.657261,2.180682572870305
122596691.61351684,0.1495165882791208
3105976857.967695,2.143371850370945
2344546689.167992,1.9892179205245155
3941608335.635315,4.544826366644768
2403151114.553429,4.083708001533508
1624095995.293597,3.21278031492482
832609962.6249812,0.8575315527358922
117047749.11359206,0.1313058572563478
2871492577.393289,1.993386969075701
2958129630.943567,2.0549106425972616
3340924745.48875,2.1100554223698875
2610617230.23428,1.409258345776816
2972669807.984945,2.226395173002644
1677769230.5527542,1.193450360846297
1255603278.3724728,1.1308613626347612
2402702093.9074583,1.98476227637384
238544073.6282445,0.2254422281181006
3110300642.241245,2.450043253554603
66462520.78702396,0.1023013267957856
545621871.1655077,0.7001987539422481
623469563.0291641,0.5897476340636134
232987052.61955535,0.1830414640328284
234610156.0890316,0.3432337413682967
1877708154.21727,3.815354743919834
695061002.59649,1.1701625588038918
2522794632.638128,4.09734373813124
3569059296.2486887,2.0369130409393352
3443658694.4821954,1.9912071338100488
1550203121.576012,1.204206992409126
2669637633.449484,2.1687611986890647
5090950744.444353,6.064969726092632
2800588475.732055,2.014337554089246
2622806182.28796,3.415251545970853
205655595.7191876,0.1974502215413387
2529648498.5929346,1.9641774292369083
632082116.4364061,1.1320807883791026
993519089.4765012,0.791793720794318
543628527.2379373,0.7427867498794753
2522650684.7684026,1.955784482333152
241739012.21699905,0.254158049923496
197476201.28364232,0.1564635098912282
4368712988.297856,3.430098014960615
3877542639.1808553,4.395794883286993
2817443622.164263,4.263279388929255
2211565707.5455866,2.0085105515830937
1150508381.5673609,0.7338814930950914
2533716627.624176,1.966654843411682
