Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
321632587.01345795,0.0,0.35349826926139893
1971732723.8882296,0.0,1.47005471800495
806707647.7792523,0.0,1.5850738352887068
2717864708.9793086,0.0,3.3553277446895327
3130592493.0063047,0.0,3.677662696326852
1059506017.3846121,0.0,1.5990975456594
2620815995.2408977,0.0,1.7914066510934847
169473822.11804822,0.0,0.1602198389034039
4527584382.962603,0.0,4.757570103805925
151310176.02962366,0.0,0.16311800121918835
390761729.96723187,0.0,0.3690651187795517
2200836407.0585732,0.0,3.56423953687389
2716211237.6091833,0.0,1.7977458028432682
766097531.9975032,0.0,0.5225616007269245
815664525.1165539,0.0,1.5128471553504066
3556556617.875141,0.0,4.115647371076843
91808625.02189398,0.0,0.09796488193543498
2449572016.571164,0.0,3.3512181513230814
351565702.5289806,0.0,0.5868387629364635
130739568.59414718,0.0,0.2016187070209299
151318960.02364388,0.0,0.12044588319645362
177626471.01294774,0.0,0.13960422973235115
620669311.9533477,0.0,0.4837587268641795
761520280.4979175,0.0,0.9681454843029189
3673709853.321686,0.0,4.650214975710587
951916073.3342792,0.0,0.800927915831807
1452548031.419227,0.0,1.1440965340217162
555581660.8154347,0.0,0.6581978520088536
519128455.07046163,0.0,0.3937402732855543
1985199678.832702,0.0,1.3481629328318203
217716803.4664664,0.0,0.2459286796413338
2240477339.192874,0.0,3.5155731089158904
2371135435.617936,0.0,1.8605225255090283
4619701253.26412,0.0,4.802868791741437
4610802789.063087,0.0,4.729687972095541
2373011345.5015035,0.0,1.6298670855065966
2698883322.7095222,0.0,2.6841475087250815
2955987956.36389,0.0,1.9857924123161517
2814516961.9393983,0.0,1.8376778605942496
366822020.9106971,0.0,0.3348548845216484
2555086495.765754,0.0,1.8944345499596968
1032378889.1742514,0.0,0.7801452296080267
1838926871.4787056,0.0,3.3540360497593427
111082647.33199818,0.0,0.11118398418756692
994276527.526834,0.0,2.072129062788081
1215595451.2179477,0.0,1.3639475493627649
1092075718.3879051,0.0,1.2540256668931173
1971142875.3370547,0.0,3.454588618668109
2913645237.21259,0.0,3.796117486960118
417323736.64833087,0.0,0.2468978698779846
1834898903.9103355,0.0,3.314914320835248
3863688120.256414,0.0,4.814647931195334
2132124962.802528,0.0,3.8304217708769963
909803013.8047955,0.0,0.6349461201104212
2487909781.3929095,0.0,3.5093403442010893
788982311.8743752,0.0,0.5491722621001391
2220254786.585081,0.0,3.3537083559674112
663246112.4845512,0.0,0.7025781273135686
536852535.5043731,0.0,0.3740084534628303
1374892707.1555853,0.0,2.4900538975810447
2962438431.817593,0.0,2.0865870079983106
503657525.1993517,0.0,0.3534523350859747
882755052.7725494,0.0,0.6018692475138372
563345103.1167693,0.0,0.4342124904721039
111215471.60777149,0.0,0.18693422041931615
3072348441.6660404,0.0,1.7745098335504703
980094553.9981796,0.0,0.7791775913937997
504711443.2442513,0.0,0.4302910688253354
865232404.8300345,0.0,0.6375748355857819
2010271216.3832355,0.0,3.4649077482601274
1223146543.8860757,0.0,2.3590304249601126
1493490336.2006602,0.0,0.815593752758844
238798260.3173125,0.0,0.21021809257147595
1480614139.675208,0.0,2.204744273040418
1631255051.7595484,0.0,3.233144327994962
1519379275.2006323,0.0,1.1339228322553385
2637210677.012607,0.0,3.708972878245982
151659476.7129936,0.0,0.18792385343171428
1055854101.3562624,0.0,0.8435441460066133
2043805886.6017408,0.0,3.6028408805093983
2663957142.5036697,0.0,1.87472501061888
222581439.41128933,0.0,0.34257073589174425
1276110854.4120843,0.0,0.7989593811533049
252174520.52687642,0.0,0.3769159049663415
439272537.9486364,0.0,0.31760181028679413
2801132103.384821,0.0,1.78316707910018
3095883715.0176926,0.0,1.7959201735381352
2548494596.809219,0.0,1.9945266704060598
724773992.0558865,0.0,1.588773413171719
285767488.95053697,0.0,0.30397649243561553
1127612009.5765257,0.0,1.0360915654573313
123927827.09284545,0.0,0.2077343030195828
2513649639.3310556,0.0,2.2060545281158372
1092004382.6569178,0.0,1.5426098426215082
426327194.0692722,0.0,0.6505627197498723
416500130.0982268,0.0,0.5912442178638821
848427479.7855718,0.0,0.8095044392953871
2590811557.0939484,0.0,1.8060268134117274
2406713579.3427343,0.0,1.9007655788011937
627965905.1774027,0.0,0.9578347126453188
556161205.6357856,0.0,0.7620591807695527
2285211491.3281384,0.0,1.7810202290900528
108308166.01967518,0.0,0.09657984025011565
1972060728.7498727,0.0,3.509450205984855
2299711704.700389,0.0,1.7952657477777318
267614145.7815575,0.0,0.18956086881295903
2540488248.5743165,0.0,1.9644735377090377
520459854.2728908,0.0,0.47427915008694893
494995036.6143016,0.0,0.3929424616056701
3158789260.2126913,0.0,2.51578334004088
3113280413.97513,0.0,4.889060616552819
2532993168.791556,0.0,3.3965673651345707
826196969.6488683,0.0,0.91861971887939
2744435981.974461,0.0,1.8198229746512673
889905185.831784,0.0,0.7845295447417516
3984068847.703727,0.0,1.9944383161373123
1013400389.9252456,0.0,0.838911408864846
468963047.94189644,0.0,0.6469303870725159
207682316.05729982,0.0,0.20557494927010017
2720931512.5938644,0.0,2.38059623783114
847088462.5342155,0.0,1.8848777460401946
2951186207.3104606,0.0,1.979452415306754
2513818070.3225207,0.0,3.7901324145967976
2475458920.7074566,0.0,1.8319360986608766
905525580.9587114,0.0,1.0787885398859847
2721469253.7061224,0.0,1.7562498649294367
2653404679.62648,0.0,1.8186901311264763
1981526949.7934177,0.0,1.8037344104308246
3093278969.4842076,0.0,2.035060322046348
2075235734.9811192,0.0,1.7280949158222185
705877901.0689814,0.0,1.0159598921509543
2425125679.6872606,0.0,3.63944910651208
181128466.2248742,0.0,0.25292086845893497
459641642.75712276,0.0,0.492226673075449
788193708.9336872,0.0,0.5875988033960687
260004684.67849854,0.0,0.21069001307918214
2600903100.1462903,0.0,3.8307491069563198
432315216.0477133,0.0,0.34566522297550695
3580841230.1819887,0.0,3.554761910175675
709593908.3928219,0.0,0.5862922323529274
88906089.63206515,0.0,0.16666338482268334
170662902.15063348,0.0,0.21887386734825964
228172261.30339932,0.0,0.20678209551840984
2913455884.0319567,0.0,1.8183038600978647
2339404429.3180885,0.0,1.8325651674252332
676887080.9195025,0.0,1.1839583582284838
1549551767.878036,0.0,2.601966965974176
1344932520.420089,0.0,0.8570019405088256
3209494736.111405,0.0,2.8375710838155905
2740603933.2952557,0.0,1.8180266716974067
2469673767.603359,0.0,2.165302491323145
544825141.6013896,0.0,0.387378317518076
779601116.4104481,0.0,0.7688399252764908
170120152.20921552,0.0,0.13994298244134798
3271932648.1893106,0.0,4.142333486735904
315776486.8550583,0.0,0.319503693268902
2808446821.7894797,0.0,1.8253125043253267
1620895218.9576619,0.0,0.8161521653030486
3613422803.7007785,0.0,1.9495075348542399
1373971813.118242,0.0,1.1712432142213522
174795941.58195293,0.0,0.1806471379672667
361229301.2143313,0.0,0.38477711022642347
3702108243.7271924,0.0,2.239744247421059
676236608.1229023,0.0,0.5540190066535595
5877723179.432752,0.0,5.040331564790694
2434659426.3800445,0.0,1.9927505936511305
2321013271.916164,0.0,1.8087756907131185
2861643533.0475698,0.0,1.8605799799961587
1649622435.671747,0.0,2.723132658654583
1881975053.9807289,0.0,3.377388648806428
198032206.24942446,0.0,0.2980827197809462
595885640.4467292,0.0,0.8851976487138118
2224281286.521674,0.0,1.694917107329897
191737668.62951905,0.0,0.2672977580499272
2619021581.158449,0.0,1.970782583698213
2118803379.9395356,0.0,1.8065222568650594
2588102435.654102,0.0,1.8062974156652516
2807514841.847247,0.0,3.508846383266661
1550822595.0355673,0.0,1.9032611949537181
3545177931.8497615,0.0,1.984933952460251
3704815803.766954,0.0,3.453019143700555
2753019904.2038765,0.0,1.9700702649330661
2582346779.6718035,0.0,1.9443205542301911
1732955242.2688653,0.0,3.3895060687607597
431351650.2010056,0.0,0.412458504191557
208467952.95719057,0.0,0.2702095930985638
3200036983.4239492,0.0,1.8074067555358082
565988961.6413894,0.0,0.5682033584726713
2053260670.8652368,0.0,2.200450543884404
1789031123.4330924,0.0,3.3169704372578
551496113.5691161,0.0,0.4747993654849055
2685019116.886002,0.0,1.8471248551591024
2632978838.7012124,0.0,1.8110523841804957
3590379739.438388,0.0,3.1852722244298026
2976772630.4581556,0.0,1.9701189605973948
852918356.9799778,0.0,0.8802331687682363
994149417.4576361,0.0,1.5843794853323203
1803869325.5397205,0.0,3.3449352963723546
865807680.8852671,0.0,2.053487518011401
600496066.6772687,0.0,0.5854984386459274
274278765.92408866,0.0,0.25862763812464623
2354777373.4352617,0.0,2.249108910800041
3953101316.420263,0.0,4.893179156714601
2565190945.7194114,0.0,1.8591167430787399
3325699865.741745,0.0,4.785261159860478
2510541427.090712,0.0,1.8128624044544126
409878437.8529786,0.0,0.764785837205046
1277068618.458435,0.0,0.9398587152569658
376439842.6270831,0.0,0.375149539959263
1621859074.4045691,0.0,1.9954631363288997
2570535118.166729,0.0,1.7882913284442927
353804143.2284204,0.0,0.3411104703032851
2315302965.83826,0.0,3.371555574520025
1012991357.1711373,0.0,0.8106237401841547
2616323036.4680505,0.0,1.9647800318788595
2968380146.514949,0.0,1.9080070015284496
837965710.5779947,0.0,0.9086451351174847
3136716458.3522577,0.0,3.984941903329672
3477232594.302491,0.0,2.6642317810466305
2443350866.394118,0.0,1.8092157392406345
212518848.05113572,0.0,0.15951932426423862
515941635.4856235,0.0,0.8785287049282378
777539203.9920633,0.0,0.5628862925157272
158621918.04961124,0.0,0.11877176502152197
1422222902.5902872,0.0,3.2808142505380244
2238953915.8562455,0.0,3.5955883667169184
305591798.65467274,0.0,0.3234441785012636
1326493507.3458018,0.0,1.9890636359942935
2855149725.8550553,0.0,1.752441516267345
1866693702.887419,0.0,1.8329696555625068
479062612.8859911,0.0,0.6463440725666363
2161289162.467781,0.0,1.7914066510934847
302866552.16728187,0.0,0.15822830777760835
1181791412.0201178,0.0,1.3402494441845083
1909597593.8907397,0.0,3.251132918981358
518430034.3337357,0.0,0.5010140502817105
2227899796.579218,0.0,1.3215777394793886
2551726341.5241895,0.0,1.771816416437486
2400972865.6682706,0.0,1.764263213412384
2742399584.7030716,0.0,1.773260963142563
2311327789.498782,0.0,1.8066591802938534
1925257599.3282893,0.0,3.436135116130272
4264608087.60034,0.0,3.0109486293667302
888144849.0859859,0.0,1.238512370005159
1141278630.8363738,0.0,2.294385306146853
2720119527.8987427,0.0,2.2118271479884113
2322915517.4192076,0.0,1.8180266716974067
848266932.9074693,0.0,0.8126617861565606
1679943983.8934464,0.0,3.3470634120066327
501220058.08174515,0.0,0.7503870786618856
2665540870.138394,0.0,3.4995439190806463
2778580699.292852,0.0,2.4717029277604428
1592050279.8697357,0.0,1.7445945272147794
3115567271.560795,0.0,1.847177951846373
2570234157.903902,0.0,3.416662000641665
1877070207.8195128,0.0,1.893112060830854
105497536.74359736,0.0,0.09135365026146668
363505468.82600087,0.0,0.4166245601615607
648262431.5179719,0.0,0.6227748759206151
5214503935.144283,0.0,4.792991854312
2826761028.7227783,0.0,1.8037344104308246
186081760.28507897,0.0,0.2305967484274476
1710118171.4117897,0.0,2.6141117635329048
2062174226.929357,0.0,3.3145121327255573
2552731598.114621,0.0,1.7726940985263018
436487906.1594292,0.0,0.4404813356800332
4023581638.4847245,0.0,3.272281049583565
2416941146.4813066,0.0,1.7786624774457531
2600909584.1420574,0.0,1.814861698762595
1632750340.4282036,0.0,3.071294954315998
1916153959.2272642,0.0,3.3666096731917503
1263799491.919729,0.0,0.8537295837127804
2235013671.281822,0.0,1.9703439466257644
811696271.9700924,0.0,1.5081909587210462
966123282.81062,0.0,0.9201307100578766
2749645881.204046,0.0,1.8115945427426057
971998237.4879907,0.0,0.8628529921483218
2492195168.178996,0.0,1.7967187753099112
2125796662.7747111,0.0,1.8134115365630112
917842365.5143209,0.0,0.8555155116477796
1707845307.25252,0.0,1.1162505077568414
621013448.4602679,0.0,0.5784426071270984
3452952684.747696,0.0,3.011460251448866
1997312415.4015198,0.0,3.2912072010767215
2038130493.0881214,0.0,1.1470339501492806
2178029219.6644373,0.0,1.8088470889303854
2126666321.5120413,0.0,2.3563679931776784
2886562923.455265,0.0,1.7816432159854558
2128144055.8525293,0.0,1.8159227415310801
169732428.11792693,0.0,0.15193045915065745
575967082.2458779,0.0,0.6899997550598209
1464256227.7891598,0.0,1.8165004634551865
3340443646.6684947,0.0,1.773632250284205
1433891518.782572,0.0,2.0835841008174194
2131735477.0253246,0.0,1.8193321895324832
102116223.18143888,0.0,0.21781011638812503
