A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
15266593.00089636,0.009550479922853197,66886665.668283716,0.05488379368152016,232660418.42861205,0.35521053046242873,0.0,0.0,877700375.2545207,0.6570455953510147,0.0,0.0
40604271.87975979,0.03100683716242883,629078450.6215786,0.5805571258287965,0.0,0.0,117556842.31832457,0.04302024016975851,0.0,0.0,0.0,0.0
0.0,0.0,106338387.07762611,0.09911471903699569,2244832790.3052406,3.7188911873592323,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10419634.789359324,0.00837346743101593,70795100.83819942,0.10524414949867704,73635066.09707372,0.02829235587070452,0.0,0.0,0.0,0.0
52779232.76854597,0.04019228823861589,996684814.64902,0.8961102766480795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101872843.60869804,0.07165064863312717,242366325.5926207,0.21770227110274615,0.0,0.0,39623220.893424116,0.017539930527647657,0.0,0.0,0.0,0.0
2430501548.8096714,1.437583581365079,0.0,0.0,0.0,0.0,64064455.1129635,0.021063245782558193,0.0,0.0,0.0,0.0
0.0,0.0,26680172.461493835,0.029206076112289175,1963618715.9025135,3.6924341495258943,12271296.733060103,0.0062615316595938265,0.0,0.0,0.0,0.0
24308012.92902141,0.022248555460632074,82855664.10324147,0.09846519286970695,12131782.209851112,0.027338402677920773,32276047.070328243,0.01880023782733141,26487120.497448884,0.02989101475343795,0.0,0.0
0.0,0.0,33179671.146008395,0.028825693531110134,148965645.69671914,0.23957900943351054,0.0,0.0,183909396.91741708,0.14742060263631265,0.0,0.0
2963961670.305772,2.0233864392781236,0.0,0.0,0.0,0.0,3325094.127324272,0.0015813430980220781,0.0,0.0,0.0,0.0
0.0,0.0,106229793.16032486,0.09891442120649105,54418216.58180147,0.09545905943639434,0.0,0.0,174402591.38194174,0.1544987864991206,0.0,0.0
2885458889.9881988,2.0009593681964333,0.0,0.0,5815716.305160315,0.010800126043570984,0.0,0.0,37440392.46938005,0.034994956546022145,0.0,0.0
2232686888.340811,1.457524863456933,3273702.4394112416,0.002969531245150551,0.0,0.0,13742555.594463687,0.0061472391115473006,68632860.04563302,0.05946497637017066,0.0,0.0
0.0,0.0,103377691.02032354,0.09760063624441889,594958.7080047266,0.00107332496644244,0.0,0.0,0.0,0.0,0.0,0.0
2364361737.8976727,2.0057246596546383,2515103.277047677,0.0030234162917949304,4865612.029912669,0.011193000981655744,24358043.380039494,0.013769776784632348,27108964.43556045,0.03055299152288899,0.0,0.0
0.0,0.0,180459280.61463806,0.1563105188629641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,252468643.44634628,0.21570979249498196,0.0,0.0,35831134.95407906,0.014907845007337517,0.0,0.0,0.0,0.0
2709878404.6109934,1.9780118614163196,130315140.40819581,0.12854041241097408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2579072843.696695,2.00641369469135,0.0,0.0,970418385.0669377,1.8947664186407414,0.0,0.0,0.0,0.0,0.0,0.0
3243505960.8209677,1.9960302598208801,0.0,0.0,2027563386.5416064,3.1598905008108864,1738233.7016380406,0.0007275785853057015,0.0,0.0,0.0,0.0
