Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
2398457.2817326086,822247500.1297528,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,600300000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,902700000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,467100000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,684900000.0,69.27549872838588,0.0008895726128228837
2385843.6504399553,822247500.1297528,806100000.0,69.01888649875814,0.0008803092491667244
2385843.6504399553,822247500.1297528,806100000.0,69.01888649875814,0.0008803092491667244
2398457.2817326086,822247500.1297528,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,941000000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,941000000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,941000000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,804774268.5354536,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,854197515.2818578,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,780225571.1556213,684900000.0,69.27549872838588,0.0008895726128228837
0.0,996517141.3007475,684900000.0,0.0,0.0
2398457.2817326086,834099964.8208839,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,762565276.5645164,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,845772051.7571491,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,813414188.0790087,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,813604572.8375815,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,817357805.1976537,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,837758723.1297945,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,847312729.8611853,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,815683040.8150403,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,851238470.0729934,684900000.0,69.27549872838588,0.0008895726128228837
2398457.2817326086,822247500.1297528,684900000.0,166.69416881517853,0.0002965242042742946
0.0,959297521.8735297,1695600000.0,0.0,0.0
0.0,959297521.8735297,1611000000.0,0.0,0.0
0.0,959297521.8735297,1611000000.0,0.0,0.0
0.0,959297521.8735297,1393200000.0,0.0,0.0
0.0,959297521.8735297,1611000000.0,0.0,0.0
0.0,959297521.8735297,1828800000.0,0.0,0.0
0.0,959297521.8735297,1611000000.0,0.0,0.0
0.0,959297521.8735297,1611000000.0,0.0,0.0
0.0,959297521.8735297,1611000000.0,0.0,0.0
0.0,959297521.8735297,1489800000.0,0.0,0.0
0.0,959297521.8735297,1489800000.0,0.0,0.0
0.0,959297521.8735297,1611000000.0,0.0,0.0
0.0,959297521.8735297,1354900000.0,0.0,0.0
0.0,959297521.8735297,1354900000.0,0.0,0.0
0.0,959297521.8735297,1354900000.0,0.0,0.0
0.0,976341447.07679,1611000000.0,0.0,0.0
0.0,931227597.3913106,1611000000.0,0.0,0.0
0.0,1002755376.1163993,1611000000.0,0.0,0.0
2373230.0191473006,804942579.038639,1611000000.0,165.45922246009502,0.00029034862850352164
0.0,945565707.2072043,1611000000.0,0.0,0.0
0.0,1045666988.1120234,1611000000.0,0.0,0.0
0.0,938206128.4534361,1611000000.0,0.0,0.0
